1.094730655585838930e+00,1.940781812481312318e+00,2.047384714259904204e+00,1.000000000000000000e+00
1.595328244574392373e+00,1.906716103911159088e+00,2.429683692600546951e+00,1.000000000000000000e+00
3.919958738667524756e+00,9.550758103661749487e-02,3.144994619188907325e+00,2.000000000000000000e+00
-1.822374026741462316e-01,2.917996152601531445e+00,2.259550725129815696e+00,2.000000000000000000e+00
1.547262809111923376e+00,2.887984574280568317e+00,2.414679785742883222e+00,3.000000000000000000e+00
7.513769412325288499e-03,2.667898495922263802e+00,8.687923693477084264e-01,1.000000000000000000e+00
8.129377362177062638e-01,3.325436188305198826e+00,1.726571248959585470e+00,1.000000000000000000e+00
-3.218196071994461338e-01,3.464146462498096657e+00,1.905013671107434359e+00,2.000000000000000000e+00
1.459496811319639598e+00,-7.559745445664582952e-01,2.407067247099759832e+00,1.000000000000000000e+00
9.542270405180360848e-01,1.861591952446672860e+00,1.987594791810043615e+00,2.000000000000000000e+00
2.527093106725466498e+00,1.126190190710324224e+00,2.428489900580367067e+00,2.000000000000000000e+00
7.436041495937951717e-01,7.167191909758191537e-01,1.964303903486243508e+00,1.000000000000000000e+00
6.076436369319396791e-01,1.143920877797017122e+00,1.489143821197607132e+00,2.000000000000000000e+00
6.370780343342472563e-01,7.819497720176806776e-01,7.110666578385600456e-01,1.000000000000000000e+00
2.694841248700147185e-01,9.446589661090655232e-01,2.402038163944332450e+00,2.000000000000000000e+00
1.218257823590131572e+00,4.938801136388473179e-01,1.168449604642658013e+00,3.000000000000000000e+00
4.658958626481300991e-01,1.510177211993423807e+00,1.655312026969770534e+00,1.000000000000000000e+00
1.168356061856276717e+00,1.438394451125101448e+00,3.807206952843113612e+00,3.000000000000000000e+00
2.174700546592774231e+00,1.378933249626151714e+00,4.085140145720007609e-01,1.000000000000000000e+00
4.241612820158777275e+00,-1.133899755991648828e+00,1.124926915616825562e+00,2.000000000000000000e+00
-9.796931535146247150e-02,1.060077942037663590e+00,2.941933667583820355e+00,2.000000000000000000e+00
1.972764606324746595e+00,1.278260641130704256e+00,3.944516633712211728e+00,3.000000000000000000e+00
1.283073830223090184e+00,9.299783817647084838e-01,2.307233576578062273e+00,1.000000000000000000e+00
2.734746794801014680e+00,1.785292478147766371e-01,9.352993884826328319e-01,1.000000000000000000e+00
-1.027137053145499967e+00,1.156575308653191581e-01,1.623896083010711422e+00,2.000000000000000000e+00
2.580516315920498016e+00,1.908453723257796719e+00,3.299429433887212326e+00,1.000000000000000000e+00
1.339136036766372051e+00,2.330358449861513748e-02,2.206695276225913993e+00,1.000000000000000000e+00
